Ticker,Year,Sector,Class,Class_Label,Annual_Price_Change_Pct,Performance_Label,Revenue,Revenue Growth,Revenue_Growth_Label,Gross Profit,Operating Income,Net Income,EPS,EPS Diluted,Gross Margin,EBIT Margin,EBITDA Margin,Net Profit Margin,Profit_Margin_Tier,Free Cash Flow margin,Operating Cash Flow,Free Cash Flow,Capital Expenditure,Total assets,Total liabilities,Total shareholders equity,Cash and short-term investments,Total debt,Net Debt,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,priceToBookRatio,Enterprise Value over EBITDA,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,ROIC,Debt to Equity,Debt to Assets,Leverage_Bucket,currentRatio,quickRatio,interestCoverage,Revenue per Share,Net Income per Share,Book Value per Share,Dividend per Share,dividendYield,Gross Profit Growth,Net Income Growth,EPS Growth,Operating Cash Flow growth,Free Cash Flow growth
SPG,2014,Real Estate,1,Positive Return,8.298172116191276,Outperformer (5-20%),4870818000.0,0.072,Moderate (5-15%),3988015000.0,2397343000.0,1408588000.0,4.52,4.52,0.8188,0.4987,0.763,0.2892,High (≥20%),0.397,2730420000.0,1933684000.0,-796736000.0,29532330000.0,23555288000.0,5093177000.0,,20852993000.0,,56596523678.25,75340293653.92,40.2898,11.6195,11.1122,16.8733,,0.2766,,,4.0943,0.7061,High (>2x),,,2.4474,15.6728,4.5324,16.387999999999998,18.165,0.039637884961794,0.0761,0.0676,0.066,0.0109,0.0397
SPG,2015,Real Estate,0,Negative/Flat Return,-4.468005839166609,Neutral (-5% to 5%),5266103000.0,0.0812,Moderate (5-15%),4305911000.0,2675508000.0,1827720000.0,5.88,5.88,0.8177,0.5263,0.762,0.3471,High (≥20%),0.3805,3024685000.0,2003761000.0,-1020924000.0,30565182000.0,25323276000.0,4471464000.0,701134000.0,22416682000.0,,60163251475.2,75340293653.92,33.068000000000005,11.4246,13.4549,16.8733,,0.4088,,,5.0133,0.7334,High (>2x),0.64271241566187,0.49790302499958,3.0005,17.0194,5.907,14.451,6.05,0.042263789937701,0.0797,0.2983,0.3009,0.1078,0.0362
SPG,2016,Real Estate,0,Negative/Flat Return,-1.7550250856054044,Neutral (-5% to 5%),5435229000.0,0.0321,Flat (0-5%),4464082000.0,2728147000.0,1838896000.0,5.87,5.87,0.8213,0.5016,0.746,0.3383,High (≥20%),0.4736,3372694000.0,2574229000.0,-798465000.0,31103578000.0,26005904000.0,4310448000.0,560059000.0,22977104000.0,,57386055354.54,75340293653.92,31.1107,10.5582,13.3132,16.8733,,0.4266,,,5.3306,0.7387,High (>2x),0.6595944371861701,0.48193659588534,3.179,17.2966,5.8519,13.717,6.5,0.045965080875134,0.0367,0.0061,-0.0017,0.1151,0.2847
SPG,2017,Real Estate,1,Positive Return,2.148665862468913,Neutral (-5% to 5%),5538640000.0,0.019,Flat (0-5%),4558560000.0,2813644000.0,1947962000.0,6.24,6.24,0.823,0.5021,0.747,0.3517,High (≥20%),0.5167,3593788000.0,2861688000.0,-732100000.0,32257638000.0,27828394000.0,3686168000.0,1482309000.0,24632463000.0,,53598547926.54,75340293653.92,27.6314,9.6772,14.5405,16.8733,,0.5285,,,6.6824,0.7636,High (>2x),1.0538337857528002,0.8346804628333299,3.4355,17.8171,6.2664,11.858,7.15,0.0514283338489049,0.0212,0.0594,0.063,0.0656,0.1117
SPG,2018,Real Estate,0,Negative/Flat Return,-5.058628873381688,Underperformer (-5% to -20%),5657919000.0,0.0215,Flat (0-5%),4649955000.0,2923718000.0,2440058000.0,7.87,7.87,0.8218,0.5820000000000001,0.821,0.4313,High (≥20%),0.5247,3750796000.0,2968887000.0,-781909000.0,30686223000.0,26659104000.0,3296681000.0,514335000.0,23305535000.0,22790974000.0,51960048675.85,74751248675.85,21.3456,9.1836,15.7613,16.101,,0.7402,,,7.0694,0.7595,High (>2x),0.41661338901138,0.29671823572263,4.0358,18.2924,7.8889,10.658,7.9,0.055519651707104,0.02,0.2531,0.2612,0.0437,0.0375
T,2014,Communication Services,1,Positive Return,7.424300333652923,Outperformer (5-20%),132447000000.0,0.0287,Flat (0-5%),72302000000.0,12212000000.0,6442000000.0,1.24,1.24,0.5459,0.1032,0.241,0.0486,Low (0-10%),0.0766,31338000000.0,10139000000.0,-21199000000.0,296834000000.0,206564000000.0,89716000000.0,8603000000.0,81834000000.0,73231000000.0,174231330000.0,247462330000.0,27.0887,1.3155,0.0,7.746,0.059,0.0718,0.0298,0.0298,0.9121,0.2757,Moderate (0.5-1x),0.901,0.62040663054557,3.7847,25.5344,1.242,17.296,1.84,0.069129498857249,-0.0678,-0.6502,-0.6374,-0.0994,-0.268
T,2015,Communication Services,1,Positive Return,30.101250436424287,Strong Outperformer (>20%),146801000000.0,0.1084,Moderate (5-15%),79755000000.0,24785000000.0,13345000000.0,2.37,2.37,0.5433,0.1667,0.317,0.0909,Low (0-10%),0.1135,35880000000.0,16662000000.0,-19218000000.0,402672000000.0,279032000000.0,122671000000.0,5121000000.0,126151000000.0,121030000000.0,211690320000.0,332720320000.0,14.519,1.442,0.0,7.1574,0.1185,0.1088,0.0435,0.0435,1.0284,0.3133,Elevated (1-2x),0.753,0.45284005353856,5.9393,23.8623,2.1692,19.94,1.88,0.0574592239603179,0.1031,1.0716,0.9113,0.1449,0.6434
T,2016,Communication Services,0,Negative/Flat Return,-5.099217007786157,Underperformer (-5% to -20%),163786000000.0,0.1157,Moderate (5-15%),86596000000.0,23543000000.0,12976000000.0,2.1,2.1,0.5287,0.1488,0.307,0.0792,Low (0-10%),0.1033,38442000000.0,16926000000.0,-21516000000.0,403821000000.0,279711000000.0,123135000000.0,5788000000.0,123513000000.0,117725000000.0,264185820000.0,381910820000.0,20.4857,1.6130000000000002,0.0,7.606,0.1151,0.1054,0.0413,0.0413,1.0031,0.3059,Elevated (1-2x),0.759,0.44649636191079,4.9623,26.6709,2.113,20.051,1.92,0.051294294805213,0.0858,-0.0277,-0.1139,0.0714,0.0158
T,2017,Communication Services,0,Negative/Flat Return,-21.56611624702857,Heavy Decline (<-20%),160546000000.0,-0.0198,Declining,82736000000.0,19970000000.0,29450000000.0,4.77,4.76,0.5153,0.1311,0.283,0.1834,Medium (10-20%),0.1081,38010000000.0,17363000000.0,-20647000000.0,444097000000.0,302090000000.0,140861000000.0,50498000000.0,164346000000.0,113848000000.0,236597060000.0,350445060000.0,8.0797,1.4737,0.0,7.7141,0.2395,0.2091,0.0357,0.0357,1.1667,0.3701,Elevated (1-2x),0.972,0.8234528007470301,3.34,26.1518,4.7972,22.945,1.96,0.05565932033224,-0.0446,1.2696,1.2714,-0.0112,0.0258
T,2018,Communication Services,1,Positive Return,40.618216354998616,Strong Outperformer (>20%),170756000000.0,0.0636,Moderate (5-15%),91337000000.0,26096000000.0,19370000000.0,2.85,2.85,0.5349,0.1888,0.355,0.1134,Medium (10-20%),0.1338,43602000000.0,22844000000.0,-20758000000.0,531864000000.0,337980000000.0,184089000000.0,5204000000.0,176505000000.0,171301000000.0,207714120000.0,379015120000.0,10.014,1.2164,0.0,6.2464,0.1429,0.1052,0.0352,0.0352,0.9588,0.3319,Moderate (0.5-1x),0.7979999999999999,0.49171064886681,4.0527,23.4619,2.6614,25.294,2.0,0.066679905586505,0.104,-0.3423,-0.4025,0.1471,0.3157
